iter	Passed	Remaining
730	1210	445
731	1211	443
732	1212	441
733	1212	439
734	1213	437
735	1215	435
736	1215	433
737	1217	432
738	1217	430
739	1219	428
740	1220	426
741	1221	424
742	1222	422
743	1223	420
744	1224	419
745	1225	417
746	1225	415
747	1226	413
748	1227	411
749	1229	409
750	1230	407
751	1231	406
752	1232	404
753	1233	402
754	1233	400
755	1234	398
756	1235	396
757	1236	394
758	1237	392
759	1238	391
760	1239	389
761	1240	387
762	1241	385
763	1242	383
764	1242	381
765	1243	379
766	1244	378
767	1245	376
768	1246	374
769	1247	372
770	1248	370
771	1248	368
772	1249	367
773	1250	365
774	1251	363
775	1252	361
776	1253	359
777	1254	357
778	1255	356
779	1256	354
780	1257	352
781	1258	350
782	1259	348
783	1260	347
784	1260	345
785	1261	343
786	1262	341
787	1263	340
788	1264	338
789	1265	336
790	1266	334
791	1267	332
792	1268	331
793	1269	329
794	1270	327
795	1271	325
796	1272	324
797	1273	322
798	1274	320
799	1275	318
800	1277	317
801	1278	315
802	1279	313
803	1280	312
804	1281	310
805	1282	308
806	1283	306
807	1284	305
808	1285	303
809	1286	301
810	1286	299
811	1287	298
812	1288	296
813	1290	294
814	1291	293
815	1292	291
816	1293	289
817	1294	287
818	1295	286
819	1296	284
820	1297	282
821	1298	281
822	1299	279
823	1300	277
824	1301	276
825	1302	274
826	1302	272
827	1304	270
828	1305	269
829	1306	267
830	1307	265
831	1308	264
832	1309	262
833	1310	260
834	1311	259
835	1312	257
836	1312	255
837	1313	253
838	1314	252
839	1315	250
840	1316	248
841	1317	247
842	1318	245
843	1319	243
844	1320	242
845	1321	240
846	1322	238
847	1323	237
848	1324	235
849	1325	233
850	1326	232
851	1327	230
852	1328	228
853	1329	227
854	1330	225
855	1331	223
856	1332	222
857	1333	220
858	1334	219
859	1335	217
860	1336	215
861	1337	214
862	1338	212
863	1339	210
864	1339	209
865	1340	207
866	1341	205
867	1342	204
868	1343	202
869	1344	200
870	1345	199
871	1346	197
872	1347	195
873	1348	194
874	1349	192
875	1350	191
876	1351	189
877	1352	187
878	1353	186
879	1354	184
880	1355	183
881	1356	181
882	1357	179
883	1358	178
884	1359	176
885	1360	175
886	1362	173
887	1363	171
888	1364	170
889	1365	168
890	1366	167
891	1367	165
892	1368	163
893	1369	162
894	1370	160
895	1371	159
896	1372	157
897	1373	155
898	1374	154
899	1375	152
900	1376	151
901	1377	149
902	1378	148
903	1379	146
904	1380	144
905	1381	143
906	1382	141
907	1383	140
908	1384	138
909	1385	137
910	1386	135
911	1387	133
912	1388	132
913	1389	130
914	1390	129
915	1390	127
916	1391	125
917	1392	124
918	1393	122
919	1394	121
920	1395	119
921	1396	118
922	1397	116
923	1398	114
924	1398	113
925	1399	111
926	1400	110
927	1401	108
928	1402	107
929	1403	105
930	1404	104
931	1405	102
932	1406	100
933	1407	99
934	1408	97
935	1409	96
936	1409	94
937	1410	93
938	1411	91
939	1412	90
940	1413	88
941	1414	87
942	1415	85
943	1416	84
944	1419	82
945	1421	81
946	1423	79
947	1425	78
948	1426	76
949	1427	75
950	1428	73
951	1429	72
952	1430	70
953	1431	69
954	1433	67
955	1434	66
956	1435	64
957	1436	62
958	1437	61
959	1438	59
960	1439	58
961	1440	56
962	1441	55
963	1442	53
964	1443	52
965	1444	50
966	1446	49
967	1448	47
968	1449	46
969	1450	44
970	1451	43
971	1452	41
972	1453	40
973	1454	38
974	1455	37
975	1456	35
976	1458	34
977	1461	32
978	1462	31
979	1463	29
980	1464	28
981	1466	26
982	1467	25
983	1468	23
984	1469	22
985	1470	20
986	1471	19
987	1472	17
988	1472	16
989	1473	14
990	1474	13
991	1475	11
992	1476	10
993	1477	8
994	1478	7
995	1479	5
996	1481	4
997	1482	2
998	1483	1
999	1484	0
